Customer Complaint,Complaint Category
Missed Train Alerts Are Unreliable.,Other Complaints
Escafeiramentos e fraturas no corpo foram permitidas.,Other Complaints
Hybrid vehicles are not yet available.,Other Complaints
Dates were missing from the roadside snacks.,Other Complaints
There may be a flaw in the software.,Other Complaints
Unofficial travelers were blocking the platforms.,Other Complaints
It was extremely hot with nil opportunity to sit.,Other Complaints
Lack of knowledge about train diversion.,Other Complaints
These trains have unauthorised stop.,Other Complaints
Kindergarten facilities were not established even after the railway acquires the land.,Other Complaints
History books were removed.,Other Complaints
They announced the winning team without any prior notification.,Other Complaints
Overweight individuals were allowed to travel.,Other Complaints
Not enough space for passengers' cargo.,Other Complaints
Requested information was not available.,Other Complaints
The air conditing unit was not working during the entire journey.,Other Complaints
There Was An Fault With The Electrical System.,Other Complaints
None of the assistance providers were available.,Other Complaints
Toilet paper was not available when I needed it.,Other Complaints
Blindpeople were allowed to board thetrain.,Other Complaints
Wildlife was being trailed on the highway.,Other Complaints
Cast members from the movie welcomed guests.,Other Complaints
Illuminated platforms were difficult to recognize at night.,Other Complaints
Everything was wrapped and unprotected.,Other Complaints
Jetty was not well maintained.,Other Complaints
Trunk opened by passengers.,Other Complaints
Kids were allowed to travel free.,Other Complaints
"Desks were placed behind the wall, making it difficult to read the newspaper.",Other Complaints
Aircraft engine noise was very loud and distracting.,Other Complaints
Protection against alcohol had been removed.,Other Complaints
Lack of prior update about train diversions.,Other Complaints
The airconditioning wasn'tworking during the entire journey.,Other Complaints
One passenger was drunk while driving.,Other Complaints
Fees for early departure of the train has been increased.,Other Complaints
Living conditions at the railways were poor.,Other Complaints
Illuminated platforms were not recommended.,Other Complaints
There is an f gouvernement system in place.,Other Complaints
Anti-social behavior was taking place on the platform.,Other Complaints
"After payment, No update About The Timing Of The Trip.",Other Complaints
Outside assistance was not offered.,Other Complaints
Unique passes issued for the train.,Other Complaints
Recent improvements in the railways are not being implemented.,Other Complaints
Heating was not working during the entire journey.,Other Complaints
Some passengers were smiling while eating.,Other Complaints
NTT trains have no direct connection with railways.,Other Complaints
No aid Was Provided For Senior Citizens.,Other Complaints
Forced university studies are being conducted.,Other Complaints
Roadside assistants did not offer help. ,Other Complaints
Buses running outside the rails is a danger.,Other Complaints
NO aid was provided for senior citizens.,Other Complaints
People were smiling while eating.,Other Complaints
Feedback was NOT collected.,Other Complaints
Adults were walking on the platform.,Other Complaints
Inadequacies in the railways personnel management systems.,Other Complaints
Overweight passengers were allowed to travel.,Other Complaints
Lack of knowledge about train diversions.,Other Complaints
"When I arrived at my destination, there was nobody there to meet me.",Other Complaints
Outdoor lights on the train were not working at night.,Other Complaints
It was impossible to reach the main railway facility.,Other Complaints
Disagreeable individuals were sitting in the second class.,Other Complaints
Beloved pets were excluded from the fare list.,Other Complaints
Horrible treatment by officials.,Other Complaints
Residents of the local town were living there.,Other Complaints
The air conditioning was not working during the entire journey.,Other Complaints
Some passengers were smoking outside the train.,Other Complaints
UNAUTHOIZED PEOPLE WERE OPENING PERSONAL LIBRARIES.,Other Complaints
Little or nonexistent help desk.,Other Complaints
Bees were flying in the air outside thetrain.,Other Complaints
A Passport or Visa certificate is required.,Other Complaints
No support team was available when I need them most.,Other Complaints
Overall experience was very poor.,Other Complaints
Judge rejected my case completely.,Other Complaints
Comfort boxes were not opened when the ride ended.,Other Complaints
Trains are becoming more frequent and unsustainable.,Other Complaints
It was very hot with no shade on the platform.,Other Complaints
Offenders were arrested but no action was taken against them.,Other Complaints
Members of the public were walking on the platform.,Other Complaints
Hospitals were not informed about the passenger's health conditions.,Other Complaints
Goody baskets were not distributed despite registration.,Other Complaints
Bees were flying in the air outside the Train.,Other Complaints
I am unable to recover my deposit.,Other Complaints
High overhead structure made it impossible to walk or stand.,Other Complaints
Air conditioning wasn't working during the whole journey.,Other Complaints
University students were allowed to travel free.,Other Complaints
Residents of the nearby village are living there.,Other Complaints
Forced traffic stops were happening on the highway.,Other Complaints
Portion sizes were too small and unpleasant to eat.,Other Complaints
Cancer patients were allowed to travel free.,Other Complaints
Overheated mechanical systems of the train.,Other Complaints
Missing passports were reported.,Other Complaints
Children were allowed to travel free.,Other Complaints
Some customers were smiling while eating.,Other Complaints
Trash was dumped outside the Train.,Other Complaints
Escape arts were not installed in the Train.,Other Complaints
Horse riding was not allowed.,Other Complaints
Roadside assistancetheyc providing is nonexistent.,Other Complaints
Animal rescue workers were not informed about the passenger's health conditions.,Other Complaints
Some passengers were smoking outside thetrain.,Other Complaints
Cars were parked outside the platform.,Other Complaints
Successful travelers brought their own alcohol.,Other Complaints
Hydraulic brakes were not working during the whole journey.,Other Complaints
Stubborn passengersrefused to boardthe train.,Other Complaints
Hospitals were not informed About the passenger's health conditions.,Other Complaints
Stubborn passenger refuses to board the train.,Other Complaints
Trash was dumped outside the train.,Other Complaints
Horses were used as transportation.,Other Complaints
Montane winter sports events organized by the Railway Department are unfair.,Other Complaints
Dates were missing from the road side snacks.,Other Complaints
Escape arts were not installed in the train.,Other Complaints
Outside assistants were providing travel tips.,Other Complaints
Aggressive behavior by passengers was observed.,Other Complaints
Visitors were allowed to enter the compartment.,Other Complaints
Selfie sticks were not allowed.,Other Complaints
Orientation programs are conducted but none of them discussed recent developments.,Other Complaints
Records were not updated despite receipt submission.,Other Complaints
Mechanical problems with thetrain were reported.,Other Complaints
Repeated warnings against drinking alcohol are given.,Other Complaints
31 passengers were trapped outside the Railway premises.,Other Complaints
Almost nonexistent help counter.,Other Complaints
Kindergarten students were allowed to travel free.,Other Complaints
Airconditioning wasn't working during the whole journey.,Other Complaints
Dates weren't inserted into the bread.,Other Complaints
Passport or visa certificate is required for international traffic.,Other Complaints
Feedback was not collected.,Other Complaints
Members had free access to the airport.,Other Complaints
Using public transports like buses and trains is expensive.,Other Complaints
Help was not provided during the whole journey.,Other Complaints
The air conditernion was not Working during the entire journey.,Other Complaints
Quarantine conditions were not followed during the journey.,Other Complaints
Outdated trains with non-pesa payments.,Other Complaints
Aviontes were missing and unused.,Other Complaints
There may be an foul smell Inside the compartment.,Other Complaints
Air conditioning wasn't Working throughout the journey. ,Other Complaints
Help Was Not Provided During The Whole Trail.,Other Complaints
Universities within the Railway Property Have Free Education.,Other Complaints
Improvised vessels were used to transport goods.,Other Complaints
Partially blocked road leads to the railway location.,Other Complaints
Beef was served in the evening.,Other Complaints
It was impossible to reach your stand by public transport.,Other Complaints
Picture windows were NOT installed in the train.,Other Complaints
Watches and clocks were not functioning.,Other Complaints
Limit on passenger traffic has been reached.,Other Complaints
Outdated literature was displayed.,Other Complaints
Members were treated differently.,Other Complaints
Medical equipment was not available on the train.,Other Complaints
Prison officials denied access to the railway records.,Other Complaints
"Performance measurements (speed, distance) are unknown.",Other Complaints
The air conditioning was notworking during the whole journey.,Other Complaints
Heatstroke and sunburn were experienced by passengers.,Other Complaints
Refreshments were NOT available During the entire journey.,Other Complaints
Garbage was left outside the train.,Luggage & Belongings Issues
Overcrowding in the general coat led to safety concerns.,Security & Safety Concerns
Air conditioning did not work during the entire journey.,Train & Station Infrastructure
Unauthorized people were openning passengers’ bags.,Security & Safety Concerns
Toilet facilities weren't cleaned for the whole journey.,Coach Cleanliness & Hygiene
Refund formy canceled ticket has not been processed yet.,Ticketing & Reservation Issues
No prior update about the delay of thetrain.,Train Delays & Cancellations
